;rv5_ss;rsv_ss;medrv;close_price;rv5;open_price;rv10_ss;nobs;open_to_close;close_time;rk_th2;rk_parzen;rv10;bv_ss;rk_twoscale;rsv;bv;open_time
2013-10-01;1.8023655494566365e-05;6.7967023547249504e-06;1.1046929030509233e-05;8058.36;1.8023655494566365e-05;8020.9;2.1184885540304394e-05;21491.0;0.004659426835832647;183201.0;2.7363968068838517e-05;1.6265542245990474e-05;2.1184885540304394e-05;1.8945037449461635e-05;2.7435580001762747e-05;6.79670235472495e-06;1.8945037449461635e-05;100215.0
2013-10-02;6.628367580497641e-05;5.1432529646872216e-05;1.669049873846132e-05;7964.44;6.62836758049764e-05;8032.31;6.823030680179766e-05;21518.0;-0.008485524527525712;183056.0;4.137489708141828e-05;5.1023604140356214e-05;6.823030680179765e-05;4.0493364332966045e-05;4.111106153558207e-05;5.143252964687221e-05;4.0493364332966045e-05;100215.0
2013-10-03;2.5279244504841984e-05;1.7128881782150904e-05;9.41860192084664e-06;7942.29;2.5279244504841984e-05;8002.24;1.692872263803191e-05;16639.0;-0.0075198557129319;183212.0;2.8261765429761643e-05;1.876779815881355e-05;1.6928722638031907e-05;2.5434996312370208e-05;2.8202272888296994e-05;1.7128881782150904e-05;2.5434996312370208e-05;100215.0
2013-10-04;5.241766276456545e-05;3.445102923976735e-05;1.3664030648350377e-05;7943.71;5.241766276456544e-05;7934.46;5.368095499252647e-05;18703.0;0.00116512180514583;183151.0;3.64259605394388e-05;4.538450234478549e-05;5.368095499252646e-05;3.193087765697184e-05;3.76525853351408e-05;3.445102923976735e-05;3.193087765697184e-05;100215.0
2013-10-07;3.2272886252901435e-05;1.6584073703614252e-05;8.595495791911649e-06;7887.86;3.2272886252901435e-05;7898.75;3.4488623053991205e-05;18325.0;-0.0013796504414020916;183202.0;3.543795654616732e-05;3.655719729435129e-05;3.4488623053991205e-05;2.7746054307511245e-05;3.472643948399426e-05;1.6584073703614252e-05;2.7746054307511245e-05;100215.0
2013-10-08;3.614750986645346e-05;2.0608496366906904e-05;1.8902461891434425e-05;7828.24;3.614750986645346e-05;7871.42;2.228733242918352e-05;19190.0;-0.005500769937693661;183211.0;3.326064112032821e-05;1.5949850096072914e-05;2.2287332429183517e-05;3.510902805357448e-05;3.3206820577994985e-05;2.06084963669069e-05;3.510902805357448e-05;100215.0
2013-10-09;2.360722230146633e-05;1.3634915995744404e-05;1.1540275486160944e-05;7754.4;2.3607222301466327e-05;7793.11;2.1027015539324297e-05;22383.0;-0.0049795857971624;183212.0;3.362227100572033e-05;2.2632644838745764e-05;2.10270155393243e-05;2.2969031927687236e-05;3.322682490848062e-05;1.3634915995744404e-05;2.2969031927687236e-05;100215.0
2013-10-10;4.969183834301305e-05;1.2049882935406267e-05;1.2824586331836247e-05;7851.08;4.969183834301305e-05;7776.83;6.202760836017319e-05;22146.0;0.00950230180384537;183203.0;3.821758198940917e-05;4.915325878686097e-05;6.202760836017319e-05;4.524840163294436e-05;3.745546180679696e-05;1.2049882935406267e-05;4.524840163294436e-05;100215.0
2013-10-11;2.453437237787219e-05;1.0398581986377025e-05;1.34016973958071e-05;7936.08;2.4534372377872186e-05;7897.27;2.8282034728490453e-05;21054.0;0.004902320447142117;183105.0;3.246516107422027e-05;1.9231623426827153e-05;2.8282034728490453e-05;2.5414819528252353e-05;3.151364049564652e-05;1.0398581986377025e-05;2.5414819528252353e-05;100215.0
2013-10-14;1.9175059498270587e-05;9.13516662035447e-06;6.7421361786288304e-06;7929.68;1.9175059498270587e-05;7917.56;1.3696512377472316e-05;16840.0;0.0015296041914041325;183210.0;2.4619525936095096e-05;1.7962691311203237e-05;1.3696512377472313e-05;1.6338752653525176e-05;2.354214747940345e-05;9.13516662035447e-06;1.6338752653525176e-05;100215.0
2013-10-15;2.8661771302631826e-05;9.974787957442914e-06;1.2458758616401395e-05;7985.25;2.8661771302631826e-05;7974.73;1.852771272194045e-05;22492.0;0.0013182975822729759;183205.0;2.9401647378794152e-05;1.5915405295328917e-05;1.852771272194045e-05;2.0421266590156868e-05;2.8091429850567805e-05;9.974787957442912e-06;2.042126659015687e-05;100215.0
